;obj_regio3;long;obj_street;obj_baseRent;geo_plz;obj_livingSpace;lat;rel_baseRent;culture;s-stations;university;food;nightlife;spareTime;transportations
274;Neustadt-Neuschönefeld;12.401209163714425;Ludwigstr.;469,0;4315,0;72,0;51.346633867173864;6,513888888888888;2;0;5;6;5;3;4
275;Neulindenau;12.305288264751676;Hafenstr.;1019,97;4179,0;97,14;51.3312962158354;10,5;1;0;0;3;0;1;1
276;Neulindenau;12.305288264751676;Hafenstr.;1021,97;4179,0;97,33;51.3312962158354;10,500051371622316;1;0;0;3;0;1;1
277;Gohlis-Süd;12.358485206576324;"M&ouml;ckernsche Stra&szlig;e";895,0;4155,0;100,44;51.361222269680994;8,91079251294305;0;1;4;4;2;4;5
278;Zentrum-Süd;12.364169631000244;"Karl-Tauchnitz-Stra&szlig;e";1900,0;4107,0;206,01;51.32754522969419;9,222853259550508;4;0;5;3;4;3;1
279;Grünau-Mitte;12.295976140838151;"Ringstra&szlig;e";541,26;4209,0;90,21;51.3144575487922;6,0;0;0;2;2;0;6;4
280;Grünau-Nord;12.263359088818286;Am kleinen Feld;400,0;4205,0;70,24;51.31902833341821;5,694760820045557;1;0;2;1;1;0;4
281;Grünau-Nord;12.271628929941654;Jupiterstr.;295,0;4205,0;49,12;51.320395123269996;6,0057003257328985;0;0;1;2;2;1;4
282;Grünau-Nord;12.264286241993814;Am kleinen Feld;400,0;4205,0;70,24;51.318618047040204;5,694760820045557;1;0;2;1;1;0;3
283;Grünau-Nord;12.26405902616948;Am kleinen Feld;212,22;4205,0;32,65;51.31843977475779;6,499846860643187;1;0;2;1;1;0;3
284;Altlindenau;12.334006880294874;Lindenauer Markt;699,0;4177,0;88,75;51.33695301462347;7,876056338028168;4;0;3;9;6;5;5
285;Paunsdorf;12.450897028796966;"Sachsenstra&szlig;e";416,0;4328,0;64,0;51.3471619988406;6,5;0;0;1;5;2;2;4
286;Grünau-Mitte;12.29661698729683;"Ringstra&szlig;e";670,0;4209,0;109,19;51.3168190685736;6,1360930488139935;1;0;3;2;0;4;4
287;Grünau-Nord;12.270525016493089;Andromedaweg;352,0;4205,0;70,24;51.3198684235388;5,0113895216400905;0;0;1;2;2;1;4
288;Paunsdorf;12.452487764608168;"Johannes-K&auml;rner-Stra&szlig;e";385,0;4328,0;68,0;51.345805175753895;5,661764705882352;0;0;0;4;1;3;3
289;Gohlis-Süd;12.368490887196893;"C&ouml;thner Stra&szlig;e";570,0;4155,0;73,3;51.3643923849603;7,776261937244202;0;2;4;5;4;6;5
290;Leutzsch;12.311888253852686;"Sattelhofstra&szlig;e";312,0;4179,0;48,0;51.343293085468396;6,5;6;0;1;4;1;7;2
291;Grünau-Nord;12.26396801096402;Am kleinen Feld;211,9;4205,0;32,61;51.317765866864995;6,498006746396811;1;0;2;1;1;0;5
292;Grünau-Nord;12.263366054676824;Am kleinen Feld;400,0;4205,0;70,24;51.31857168470937;5,694760820045557;1;0;2;1;1;0;3
293;Stötteritz;12.428178483677495;"Holzh&auml;user Stra&szlig;e";399,17;4299,0;51,84;51.319989440704795;7,700038580246915;0;0;0;3;1;4;3
294;Südvorstadt;12.371354396393091;"Kochstra&szlig;e";1115,8;4275,0;107,8;51.320955654029504;10,35064935064935;3;0;0;30;12;6;5
295;Möckern;12.342216107922445;Georg Schumannstr;502,43;4159,0;66,99;51.368318890649995;7,500074638005673;2;0;0;3;0;7;2
296;Gohlis-Süd;12.368921508007872;"C&ouml;thnerstra&szlig;e";400,0;4155,0;61,89;51.3642559726569;6,4630796574567775;0;2;3;5;4;6;5
297;Gohlis-Süd;12.361874673813341;"Breitenfelder Stra&szlig;e";458,0;4155,0;61,0;51.365364096329564;7,508196721311475;0;1;5;4;3;4;3
298;Grünau-Nord;12.264246515175333;Am kleinen Feld;288,0;4205,0;70,24;51.320499650314204;4,100227790432802;1;0;1;2;3;0;4
299;Möckern;12.3474983685161;"Nernststra&szlig;e";540,0;4159,0;74,17;51.36806856529965;7,280571659700687;1;1;0;8;0;8;6
300;Grünau-Nord;12.26496672878794;Neue Leipziger Str.;400,0;4205,0;70,24;51.3179294200187;5,694760820045557;1;0;2;1;1;0;6
301;Plagwitz;12.328425903745966;"Naumburger Stra&szlig;e";420,0;4229,0;61,0;51.32678162994571;6,885245901639344;13;1;2;10;4;6;7
302;Gohlis-Süd;12.368690235278669;"C&ouml;thnerstra&szlig;e";450,0;4155,0;65,6;51.364297105668;6,859756097560977;0;2;3;5;4;6;5
303;Gohlis-Mitte;12.378696714131136;"Krokerstra&szlig;e";595,0;4157,0;80,0;51.366598965867205;7,4375;0;0;0;5;3;5;4
304;Möckern;12.3474983685161;"Nernststra&szlig;e";545,0;4159,0;71,07;51.36806856529965;7,668495849162798;1;1;0;8;0;8;6
305;Grünau-Mitte;12.29536867342949;"Ringstra&szlig;e";327,12;4209,0;56,4;51.314843647303896;5,8;0;0;2;2;0;8;2
